id,Date,Title,Permalink,Categories,Tags
131,2006-07-15,"erste Datenbank, erstes Wordpress-Blog",https://saiht.de/blog/2006/07/15/erste-datenbank-erstes-wordpress-blog/,Projects,Projekte|website|wordpress
61,2007-08-28,Registrierung von saiht.org,https://saiht.de/blog/2007/08/28/registrierung-von-saiht-org/,Projects,domain|website|wordpress
519,2007-09-10,Abflug nach Moskau,https://saiht.de/blog/2007/09/10/abflug-nach-moskau/,Study,Moskau|Physik|Studium
72,2007-10-12,Aufstieg auf den Elbrus,https://saiht.de/blog/2007/10/12/aufstieg-auf-den-elbrus/,Leisure,Urlaub
520,2007-10-24,Gründe für das Ledigsein,https://saiht.de/blog/2007/10/24/grunde-fur-das-ledigsein/,Projects,Projekte|website
521,2007-12-10,russischer Vortrag über Studienergebnisse,https://saiht.de/blog/2007/12/10/russischer-vortrag-uber-studienergebnisse/,Study,Moskau|Physik|Studium
83,2008-01-24,Diplomarbeit ist fertig!,https://saiht.de/blog/2008/01/24/diplomarbeit-ist-fertig/,Study,Physik|Studium
85,2008-01-24,zum fünften Mal nach Moskau,https://saiht.de/blog/2008/01/24/zum-funften-mal-nach-moskau/,Study,Moskau|Physik|Studium
91,2008-03-20,Abschlussprüfung des Physikstudiums,https://saiht.de/blog/2008/03/20/abschlussprufung-des-physikstudiums/,Study,Physik|Studium
37,2008-04-17,upgrade auf WordPress 2.5,https://saiht.de/blog/2008/04/17/upgrade-auf-wordpress-25/,Projects,website|wordpress
522,2008-04-17,Mandigo Theme,https://saiht.de/blog/2008/04/17/mandigo-theme/,Projects,website|wordpress
528,2008-05-16,Wordpress ist ganz einfach,https://saiht.de/blog/2008/05/16/wordpress-ist-ganz-einfach-2/,Projects,website|wordpress
42,2008-08-20,noch immer in Deutschland,https://saiht.de/blog/2008/08/20/noch-immer-in-deutschland/,Sabbatical,Arbeit in Russland
44,2008-09-24,Freies Blog bei WordPress,https://saiht.de/blog/2008/09/24/freies-blog-bei-wordpress/,Projects,Projekte|website|wordpress
45,2008-09-25,Hier bei Werner,https://saiht.de/blog/2008/09/25/hier-bei-werner/,Projects,website|wordpress
8,2008-10-02,Krank zum unpassenden Zeitpunkt,https://saiht.de/blog/2008/10/02/krank-zum-unpassenden-zeitpunkt/,Leisure,Urlaub
529,2008-10-15,Zurück aus dem Urlaub in der Hohen Tatra,https://saiht.de/blog/2008/10/15/zuruck-aus-dem-urlaub/,Leisure,Hohe Tatra|Urlaub
530,2008-12-10,Zurück aus Amerika,https://saiht.de/blog/2008/12/10/zuruck-aus-amerika/,Leisure,Amerika|Urlaub
12,2008-12-28,Man liest mich,https://saiht.de/blog/2008/12/28/man-liest-mich/,Projects,Amerika|Urlaub|wordpress
7,2009-02-02,Wo ist der Arbeitgeber,https://saiht.de/blog/2009/02/02/wo-ist-der-arbeitgeber-2/,Sabbatical,Arbeit in Russland
28,2009-03-23,Aufstieg in die Top5000 bei Wikipedia,https://saiht.de/blog/2009/03/23/aufstieg-in-die-top5000-bei-wikipedia/,Projects,Projekte|wikipedia
531,2009-03-29,Weltkarte von united.domains,https://saiht.de/blog/2009/03/29/weltkarte-von-uniteddomains/,Projects,domain|website
107,2009-08-08,Ausflug nach Syrien und Jordanien,https://saiht.de/blog/2009/08/08/ausflug-nach-syrien-und-jordanien/,Travel,Geschichte|Urlaub
58,2009-10-13,Zwei Wochen Moskau,https://saiht.de/blog/2009/10/13/zuruck-aus-moskau/,Sabbatical,Arbeit in Russland|Moskau
532,2009-10-23,Zurück aus Moskau,https://saiht.de/blog/2009/10/23/zuruck-aus-moskau-2/,Sabbatical,Arbeit in Russland|Moskau
533,2009-10-27,Weiterer Server,https://saiht.de/blog/2009/10/27/weiterer-server/,Projects,domain|website|wordpress
142,2010-02-15,wieder online,https://saiht.de/blog/2010/02/15/wieder-online/,Leisure,website|wordpress
11,2010-06-10,Projekt der HTW Berlin,https://saiht.de/blog/2010/06/10/projekt-der-htw-berlin/,Projects,autarkes Wohnen|Freizeit
534,2010-10-13,SDW beendet,https://saiht.de/blog/2010/10/13/sdw-beendet/,Sabbatical,
33,2012-06-10,Architektur mit SketchUp,https://saiht.de/blog/2012/06/10/architektur-mit-sketchup/,Projects|Schule,autarkes Wohnen|Freizeit
14,2013-06-06,Baumhaus - Ebene eins,https://saiht.de/blog/2013/06/06/baumhaus-ebene-eins/,Projects,Baumhaus
64,2013-08-28,Projektbeginn Baumhaus,https://saiht.de/blog/2013/08/28/projektbeginn-baumhaus/,Hofkoh|Projects,autarkes Wohnen|Baumhaus
515,2014-01-05,Start der Webseite,https://saiht.de/blog/2014/01/05/start-der-webseite/,Hofkoh|Projects,Freizeit
38,2014-01-15,Jahreshauptversammlung,https://saiht.de/blog/2014/01/15/jahreshauptversammlung/,Hofkoh,
55,2014-07-29,Fortsetzung Baumhausprojekt,https://saiht.de/blog/2014/07/29/fortsetzung-baumhausprojekt/,Hofkoh|Projects,Baumhaus
57,2014-08-10,Hobby zum Beruf machen?,https://saiht.de/blog/2014/08/10/hobby-zum-beruf-machen/,Hofkoh,Baumhaus
59,2014-09-28,Aussicht in 8 Metern Höhe,https://saiht.de/blog/2014/09/28/aussicht-in-8-metern-hoehe/,Hofkoh|Projects,Baumhaus
75,2014-10-05,ein Regenschutz,https://saiht.de/blog/2014/10/05/ein-regenschutz/,Hofkoh,autarkes Wohnen|Baumhaus
84,2014-10-25,Filmliste,https://saiht.de/blog/2014/10/26/filmliste/,Projects,Freizeit
110,2014-12-14,Temperatur in Hofkoh,https://saiht.de/blog/2014/12/14/temperatur-in-hofkoh/,Projects,neue Technologien
117,2015-01-10,Physik Aufgabe 4 für Klasse 9B,https://saiht.de/blog/2015/01/10/physik-aufgabe-4-fuer-klasse-9b/,Schule,Physikunterricht
123,2015-02-26,Didacta 2015 - Das digitale Klassenzimmer,https://saiht.de/blog/2015/02/27/didacta-2015-das-digitale-klassenzimmer/,Schule,Bildung|neue Technologien
132,2015-04-29,Reaktionsschema nach Passig,https://saiht.de/blog/2015/04/29/reaktionsschema-nach-passig/,Schule,Bildung|neue Technologien
135,2015-06-01,Musteraufgaben Mathematik 7,https://saiht.de/blog/2015/06/01/musteraufgaben-mathematik-7/,Schule,Bildung|Mathematik
146,2015-06-08,Medienkonsum die Zweite,https://saiht.de/blog/2015/06/09/medienkonsum-die-zweite/,Projects,Freizeit
194,2015-07-10,Regenparty Hofkoh,https://saiht.de/blog/2015/07/10/regenparty-hofkoh/,Leisure,Baumhaus|Gartenparty|Hofkoh
157,2015-08-14,Wetter live: Blitze,https://saiht.de/blog/2015/08/15/wetter-live-blitze/,Projects,Internet|Physik
165,2015-08-24,Die eigene Cloud,https://saiht.de/blog/2015/08/24/die-eigene-cloud/,Projects,Internet|neue Technologien
171,2015-08-30,Globalisierung für Privatkunden,https://saiht.de/blog/2015/08/30/globalisierung-fuer-privatkunden/,Projects|Travel,Internet|neue Technologien
184,2015-10-15,360° VR Video,https://saiht.de/blog/2015/10/15/360-grad-video/,Schule,Youtube
182,2015-11-06,Physik 10. Klasse,https://saiht.de/blog/2015/11/06/physik-10-klasse/,Schule,Eichenschule|Musteraufgaben|Physik
163,2015-11-12,Revolution in der Bildung?,https://saiht.de/blog/2015/11/12/revolution-in-der-bildung/,Schule,Bildung|neue Technologien|Physikunterricht|Youtube
189,2015-11-16,Kinematik - Physik 10,https://saiht.de/blog/2015/11/16/kinematik-physik-10/,Schule,Musteraufgaben|Physikunterricht
214,2015-11-21,Lightpainting,https://saiht.de/blog/2015/11/21/lightpainting/,Projects,Freizeit|Gartenparty
208,2015-11-22,Fortschritte Baumhausprojekt,https://saiht.de/blog/2015/11/22/fortschritte-baumbausprojekt/,Hofkoh,Baumhaus
251,2015-12-15,Sternbilder im Winter,https://saiht.de/blog/2015/12/15/sternbilder-im-winter/,Hofkoh|Schule,Astronomie|Freizeit|Physik
270,2016-03-01,Stirlingmotor,https://saiht.de/blog/2016/03/01/stirlingmotor/,Projects,Physik
261,2016-04-05,Musteraufgaben Physik 10,https://saiht.de/blog/2016/04/05/musteraufgaben-klasse-10-vorlaeufig/,Schule,Musteraufgaben|Physikunterricht
276,2016-04-23,Lagerfeuer und Lightpainting,https://saiht.de/blog/2016/04/23/lagerfeuer-und-lightpainting/,Hofkoh|Schule,autarkes Wohnen|Baumhaus|Lagerfeuer|Lightpainting
296,2016-08-04,Ankunft Ho Chi Minh City,https://saiht.de/blog/2016/08/04/ankunft-ho-chi-minh-city/,Saigon|Schule,Internet|Verkehr HCMC|Wohnung
298,2016-08-05,neue Wohnung,https://saiht.de/blog/2016/08/05/neue-wohnung/,Saigon,Wohnung
301,2016-08-06,Nico's Hochzeit,https://saiht.de/blog/2016/08/06/nicos-hochzeit/,Saigon,Kultur Vietnam
320,2016-08-07,Shoppen am Sonntag,https://saiht.de/blog/2016/08/07/shoppen-am-sonntag/,Saigon,Kultur Vietnam
322,2016-08-08,Bankkonto 1: Standard Chartered,https://saiht.de/blog/2016/08/08/bankkonto-1-standard-chartered/,Saigon,Bank|Kultur Vietnam
329,2016-08-09,Bankkonto 2: sc.vn die Zweite,https://saiht.de/blog/2016/08/09/bankkonto-2-sc-vn-die-zweite/,Saigon,Bank
288,2016-08-10,Übergangswohnung und neu mit FTTH,https://saiht.de/blog/2016/08/10/ankunft-saigon/,Saigon,Wohnung
331,2016-08-11,Führungszeugnis Konsulat,https://saiht.de/blog/2016/08/11/fuehrungszeugnis-konsulat/,Saigon,Bürokratie
333,2016-08-12,Reifendruckkontrolle auf vietnamesisch,https://saiht.de/blog/2016/08/12/reifendruckkontrolle-auf-vietnamesisch/,Saigon,Kultur Vietnam|Roller
349,2016-08-13,Willkommen in Hanoi,https://saiht.de/blog/2016/08/13/willkommen-in-hanoi/,Travel,Urlaub Vietnam
352,2016-08-14,Ha-Long Bucht,https://saiht.de/blog/2016/08/14/ha-long-bucht/,Travel,Urlaub Vietnam
355,2016-08-15,Wasserpuppentheater Hanoi,https://saiht.de/blog/2016/08/15/wasserpuppentheater-hanoi/,Travel,Kultur|Urlaub Vietnam
516,2016-08-16,RFID für die Tiefgarage,https://saiht.de/blog/2016/08/16/rfid-fuer-die-tiefgarage/,Saigon,Roller|scooter|Wohnung
479,2016-08-17,Bankkonto 3: BIDV und Vietin,https://saiht.de/blog/2016/08/17/bankkonto-3-bidv-und-vietin/,Saigon,Bank
369,2016-08-26,Erster Schultag,https://saiht.de/blog/2016/08/26/erster-schultag/,Schule,IGS
364,2016-08-27,überschwemmte Schule,https://saiht.de/blog/2016/08/27/ueberschwemmte-schule/,Saigon|Schule,IGS|Kultur Vietnam
358,2016-08-29,Vier Klassen in einer Klasse?,https://saiht.de/blog/2016/08/29/vier-klassen-in-einer-klasse/,Schule,IGS
407,2016-09-02,Holzbestellung für die Holzwerkstatt,https://saiht.de/blog/2016/09/02/holzbestellung-fuer-die-holzwerkstatt/,Schule,Baumhaus|Business in Vietnam|Holzwerkstatt
